Ionian Mode: L->L	"<img src=""mode-Ionian-L-up.png"">"		LuBaTaDu MuJaRaLuu	"<img src=""mode-Ionian-L-up-no-colours.png"">"
Locrian Mode: N<-N	"<img src=""mode-Locrian-N-do.png""/>"		NuToBoLyo RyJoMoNy	"<img src=""mode-Locrian-N-do-no-colours.png""/>"	
Locrian Mode: M->M	"<img src=""mode-Locrian-M-up.png""/>"		MuFiGiLu PyaKiDiMuu	"<img src=""mode-Locrian-M-up-no-colours.png""/>"	
Locrian Mode: M<-M	"<img src=""mode-Locrian-M-do.png""/>"		MuDoKoPyo LyGoFoMy	"<img src=""mode-Locrian-M-do-no-colours.png""/>"	
Locrian Mode: F->F	"<img src=""mode-Locrian-F-up.png""/>"		FuJiRiPu ByaTiNiFuu	"<img src=""mode-Locrian-F-up-no-colours.png""/>"	
Locrian Mode: F<-F	"<img src=""mode-Locrian-F-do.png""/>"		FuNoToByo PyRoJoFy	"<img src=""mode-Locrian-F-do-no-colours.png""/>"	
Locrian Mode: J->J	"<img src=""mode-Locrian-J-up.png""/>"		JuGiLiBu KyaDiMiJuu	"<img src=""mode-Locrian-J-up-no-colours.png""/>"	
Locrian Mode: J<-J	"<img src=""mode-Locrian-J-do.png""/>"		JuMoDoKyo ByLoGoJy	"<img src=""mode-Locrian-J-do-no-colours.png""/>"	
Locrian Mode: G->G	"<img src=""mode-Locrian-G-up.png""/>"		GuRiPiKu TyaNiFiGuu	"<img src=""mode-Locrian-G-up-no-colours.png""/>"	
Locrian Mode: G<-G	"<img src=""mode-Locrian-G-do.png""/>"		GuFoNoTyo KyPoRoGy	"<img src=""mode-Locrian-G-do-no-colours.png""/>"	
Locrian Mode: R->R	"<img src=""mode-Locrian-R-up.png""/>"		RuLiBiTu DyaMiJiRuu	"<img src=""mode-Locrian-R-up-no-colours.png""/>"	
Locrian Mode: R<-R	"<img src=""mode-Locrian-R-do.png""/>"		RuJoMoDyo TyBoLoRy	"<img src=""mode-Locrian-R-do-no-colours.png""/>"	
Locrian Mode: P->P	"<img src=""mode-Locrian-P-up.png""/>"		PuBiTiNu MyaJiRiPuu	"<img src=""mode-Locrian-P-up-no-colours.png""/>"	
Locrian Mode: P<-P	"<img src=""mode-Locrian-P-do.png""/>"		PuRoJoMyo NyToBoPy	"<img src=""mode-Locrian-P-do-no-colours.png"">"	
